,h_t+1,h_t,a_age_t,paper_num_t
2001,1,0,0,1
2002,2,1,1,7
2003,3,2,2,11
2004,4,3,3,16
2005,4,4,4,24
2006,5,4,5,33
2007,7,5,6,46
2008,10,7,7,62
2009,14,10,8,86
2010,19,14,9,115
2011,24,19,10,158
2012,27,24,11,214
2013,32,27,12,260
2014,37,32,13,305
2015,43,37,14,346
2016,52,43,15,401
2017,57,52,16,476
2018,64,57,17,560
2019,66,64,18,623
2020,66,66,19,636
