,h_t+1,h_t,a_age_t,paper_num_t
1995,1,1,0,1
1996,1,1,1,1
1997,1,1,2,2
1998,2,1,3,3
1999,3,2,4,4
2000,3,3,5,7
2001,5,3,6,9
2002,8,5,7,14
2003,11,8,8,16
2004,13,11,9,25
2005,16,13,10,43
2006,18,16,11,62
2007,22,18,12,79
2008,28,22,13,91
2009,35,28,14,118
2010,39,35,15,132
2011,43,39,16,154
2012,48,43,17,164
2013,59,48,18,171
2014,64,59,19,173
2015,72,64,20,174
2016,76,72,21,177
2017,79,76,22,180
2018,82,79,23,184
2019,83,82,24,191
2020,83,83,25,193
