,h_t+1,h_t,a_age_t,paper_num_t
1999,1,0,0,1
2000,3,1,1,3
2001,5,3,2,10
2002,8,5,3,14
2003,11,8,4,21
2004,17,11,5,27
2005,20,17,6,30
2006,23,20,7,40
2007,25,23,8,50
2008,27,25,9,55
2009,30,27,10,64
2010,33,30,11,75
2011,37,33,12,87
2012,42,37,13,105
2013,44,42,14,117
2014,48,44,15,120
2015,52,48,16,122
2016,57,52,17,126
2017,60,57,18,130
2018,63,60,19,149
2019,64,63,20,159
2020,64,64,21,160
