," 作者:Stoica, Petre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 80 (在纳入 h-Index 的 718 文献中，有 80 篇已被至少引用 80 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
1996,Efficient mixed-spectrum estimation with applications to target feature extraction,"Li J., Stoica P.",1053587X,IEEE Transactions on Signal Processing,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,12,6,11,20,11,20,11,20,16,12,26,24,19,19,18,19,18,14,17,27,23,21,5,0,396
2001,Space-time block codes: A maximum SNR approach,"Ganesan G., Stoica P.",189448,IEEE Transactions on Information Theory,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,33,45,31,36,31,25,40,19,16,9,9,10,8,4,6,12,12,1,0,379
1990,"MUSIC, Maximum Likelihood, and Cramér-Rao Bound: Further Results and Comparisons","Stoica P., Nehorai A.",963518,"IEEE Transactions on Acoustics, Speech, and Signal Processing",38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,9,10,6,6,6,6,3,7,8,4,7,9,12,15,10,20,15,16,8,20,16,22,18,21,29,33,9,0,359
2008,Exact and approximate solutions of source localization problems,"Beck A., Stoica P., Li J.",1053587X,IEEE Transactions on Signal Processing,56,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,9,25,25,34,36,33,28,42,43,34,16,0,338
1996,An adaptive filtering approach to spectral estimation and SAR imaging,"Li J., Stoica P.",1053587X,IEEE Transactions on Signal Processing,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,8,10,11,10,6,17,10,13,19,19,19,19,17,30,18,24,19,19,19,12,4,0,337
2004,Doubly constrained robust Capon beamformer,"Li J., Stoica P., Wang Z.",1053587X,IEEE Transactions on Signal Processing,52,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,19,11,27,17,22,26,31,29,32,27,14,15,18,25,8,0,327
2010,Source localization and sensing: a nonparametric iterative adaptive approach based on weighted least squares,"Yardibi T., Li J., Stoica P., Xue M., Baggeroer A.B.",189251,IEEE Transactions on Aerospace and Electronic Systems,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,28,27,38,39,29,34,30,38,32,9,0,320
2008,Target detection and parameter estimation for MIMO radar systems,"Xu L., Li J., Stoica P.",189251,IEEE Transactions on Aerospace and Electronic Systems,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,22,27,27,25,26,31,26,24,24,31,13,0,289
2011,SPICE: A sparse covariance-based estimation method for array processing,"Stoica P., Babu P., Li J.",1053587X,IEEE Transactions on Signal Processing,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,22,25,34,33,42,41,48,12,0,276
2003,Robust Capon beamforming,"Stoica P., Wang Z., Li J.",10709908,IEEE Signal Processing Letters,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11,15,17,23,13,10,18,18,22,19,13,9,18,19,18,2,0,261
1998,Covariance matching estimation techniques for array signal processing applications,"Ottersten B., Stoica P., Roy R.",10512004,Digital Signal Processing: A Review Journal,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,5,6,8,7,5,5,7,5,5,8,7,13,21,16,22,35,37,22,9,0,254
1989,Maximum Likelihood Estimation of the Parameters of Multiple Sinusoids from Noisy Measurements,"Stoica P., Moses R.L., Friedlander B., Soderstroom T.",963518,"IEEE Transactions on Acoustics, Speech, and Signal Processing",37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,7,15,8,7,8,4,9,8,10,6,4,3,7,4,9,8,12,9,12,14,10,5,14,11,8,8,6,10,4,0,250
2008,Waveform synthesis for diversity-based transmit beampattern design,"Stoica P., Li J., Zhu X.",1053587X,IEEE Transactions on Signal Processing,56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,13,13,18,24,21,30,26,30,32,7,0,241
2008,Signal synthesis and receiver design for MIMO radar imaging,"Li J., Stoica P., Zheng X.",1053587X,IEEE Transactions on Signal Processing,56,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,13,18,22,16,30,22,19,23,21,4,0,238
2009,New algorithms for designing unimodular sequences with good correlation properties,"Stoica P., He H., Li J.",1053587X,IEEE Transactions on Signal Processing,57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,14,11,9,15,21,27,34,42,31,11,0,234
2008,Range compression and waveform optimization for MIMO radar: A Cramér-Rao bound based study,"Li J., Xu L., Stoica P., Forsythe K.W., Bliss D.W.",1053587X,IEEE Transactions on Signal Processing,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,15,15,14,24,22,21,19,18,7,25,23,5,0,221
2009,Designing unimodular sequence sets with good correlations - Including an application to MIMO radar,"He H., Stoica P., Li J.",1053587X,IEEE Transactions on Signal Processing,57,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,10,10,22,26,30,26,34,28,6,0,216
2001,The stochastic CRB for array processing: A textbook derivation,"Stoica P., Larsson E.G., Gershman A.B.",10709908,IEEE Signal Processing Letters,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,9,8,10,7,7,8,7,16,7,11,16,16,17,21,27,10,0,209
