," 作者:Mangasarian, Olvi L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 53 (在纳入 h-Index 的 150 文献中，有 53 篇已被至少引用 53 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
1975,Second- and higher-order duality in nonlinear programming,Mangasarian O.L.,0022247X,Journal of Mathematical Analysis and Applications,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,5,5,9,2,9,7,6,14,17,19,22,12,14,11,11,7,16,6,0,206
1995,Smoothing methods for convex inequalities and linear complementarity problems,"Chen C., Mangasarian O.L.",255610,Mathematical Programming,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,10,4,9,9,7,10,9,10,12,4,13,9,15,15,7,8,8,5,6,10,5,0,203
1977,Solution of symmetric linear complementarity problems by iterative methods,Mangasarian O.L.,223239,Journal of Optimization Theory and Applications,22,4,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,5,1,4,5,14,3,9,5,3,10,6,6,6,3,2,4,4,3,9,6,0,3,5,2,2,5,6,3,9,6,4,8,7,4,8,10,0,0,203
1993,Nuclear feature extraction for breast tumor diagnosis,"Nick Street W., Wolberg W.H., Mangasarian O.L.",0277786X,Proceedings of SPIE - The International Society for Optical Engineering,1905, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,1,2,3,3,0,4,10,8,8,12,5,9,8,9,8,9,13,13,20,26,10,0,188
2004,A feature selection Newton method for support vector machine classification,"Fung G.M., Mangasarian O.L.",9266003,Computational Optimization and Applications,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,10,6,10,18,11,14,17,24,10,17,11,11,9,4,0,185
1997,Clustering via concave minimization,"Bradley P.S., Mangasarian O.L., Street W.N.",10495258,Advances in Neural Information Processing Systems,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,1,3,6,1,7,2,6,9,5,7,7,3,8,10,13,11,20,16,5,0,152
1993,Nonlinear complementarity as unconstrained and constrained minimization,"Mangasarian O.L., Solodov M.V.",255610,Mathematical Programming,62, 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,20,7,9,6,4,4,6,3,3,4,4,8,8,3,9,6,7,5,3,5,4,1,4,2,0,151
2001,Semi-supervised support vector machines for unlabeled data classification,"Fung G., Mangasarian O.L.",10556788,Optimization Methods and Software,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,12,9,12,11,11,8,9,15,10,11,6,9,8,4,1,0,144
1998,Feature selection via mathematical programming,"Bradley P.S., Mangasarian O.L., Street W.N.",10919856,INFORMS Journal on Computing,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,5,9,7,12,11,7,7,10,6,3,5,10,6,5,3,6,0,6,2,0,129
2006,Absolute value equations,"Mangasarian O.L., Meyer R.R.",243795,Linear Algebra and Its Applications,419, 2-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,11,9,10,13,14,14,17,13,2,0,120
2002,A finite Newton method for classification,Mangasarian O.L.,10556788,Optimization Methods and Software,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,8,6,6,9,9,6,7,15,8,8,11,4,6,0,0,115
1994,Machine learning techniques to diagnose breast cancer from image-processed nuclear features of fine needle aspirates,"Wolberg W.H., Street W.N., Mangasarian O.L.",3043835,Cancer Letters,77, 2-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,4,0,2,2,3,7,2,4,7,8,3,2,4,4,3,5,6,5,6,8,8,9,5,0,115
2000,Massive data discrimination via linear support vector machines,"Bradley P.S., Mangasarian O.L.",10556788,Optimization Methods and Software,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,5,3,6,5,7,3,12,10,7,7,6,4,4,5,5,6,6,5,0,114
1999,Arbitrary-norm separating plane,Mangasarian O.L.,1676377,Operations Research Letters,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,6,9,10,7,4,7,4,2,3,7,9,9,3,4,8,2,5,3,0,114
